alt2 min phase gs dist fb fuel lat lon hdg
23401 0.1666667 1 265.841 0.7380261 4563.179 12.68392 -75.38193 167.4514 5
23501 0.1666667 1 266.1548 0.7388976 4556.905 12.66649 -75.36966 167.4556 5
23601 0.1666667 1 266.4685 0.7397691 4550.63 12.64906 -75.35738 167.4599 5
23701 0.1666667 1 266.7822 0.7406405 4544.356 12.63163 -75.34508 167.4641 5
23801 0.1666667 1 267.0959 0.741512 4538.081 12.6142 -75.33277 167.4684 5
23901 0.1666667 1 267.4097 0.7423834 4531.807 12.59678 -75.32044 167.4726 5
24001 0.1666667 1 267.7234 0.7432549 4525.532 12.57935 -75.3081 167.4769 5
24101 0.1666667 1 268.0371 0.7441264 4519.258 12.56192 -75.29575 167.4811 5
24201 0.1666667 1 268.3508 0.7449978 4512.983 12.54449 -75.28338 167.4854 5
24301 0.1666667 1 268.6646 0.7458693 4506.708 12.52706 -75.271 167.4897 5
24401 0.1666667 1 268.9783 0.7467407 4500.434 12.50963 -75.2586 167.4939 5
24501 0.1666667 1 269.292 0.7476122 4494.159 12.4922 -75.24619 167.4982 5
24601 0.1666667 1 269.6058 0.7484837 4487.885 12.47477 -75.23376 167.5025 5
24701 0.1666667 1 269.9195 0.7493551 4481.61 12.45734 -75.22132 167.5067 5
24801 0.1666667 1 270.2332 0.7502266 4475.336 12.43991 -75.20886 167.511 5
24901 0.1666667 1 270.5469 0.751098 4469.061 12.42248 -75.19639 167.5153 5
25001 0.1666667 1 270.8607 0.7519695 4462.787 12.40505 -75.1839 167.5196 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -75.17141 167.5238 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -75.15892 167.5281 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -75.14643 167.5324 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -75.13393 167.5366 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -75.12144 167.5409 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -75.10895 167.5451 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -75.09646 167.5494 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -75.08397 167.5536 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -75.07147 167.5579 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -75.05898 167.5621 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -75.04649 167.5664 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -75.034 167.5706 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -75.0215 167.5748 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -75.00901 167.579 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.99652 167.5833 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.98403 167.5875 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.97153 167.5917 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.95904 167.5959 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.94655 167.6001 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.93406 167.6043 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.92156 167.6085 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.90907 167.6127 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.89658 167.6169 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.88409 167.6211 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.87159 167.6253 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.8591 167.6295 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.84661 167.6337 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.83412 167.6379 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.82163 167.642 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.80913 167.6462 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.79664 167.6504 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.78415 167.6546 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.77166 167.6587 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.75916 167.6629 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.74667 167.667 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.73418 167.6712 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.72169 167.6753 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.70919 167.6795 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.6967 167.6836 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.68421 167.6878 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.67172 167.6919 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.65922 167.696 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.64673 167.7002 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.63424 167.7043 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.62175 167.7084 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.60926 167.7125 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.59676 167.7166 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.58427 167.7208 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.57178 167.7249 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.55929 167.729 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.54679 167.7331 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.5343 167.7372 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.52181 167.7413 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.50932 167.7454 5
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.49681 167.7487 4
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.4843 167.7519 4
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.47179 167.7552 4
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.45928 167.7585 4
25001 0.1666667 1 270.8659 0.7524052 4462.682 12.39634 -74.44677 167.7617 4
